Weapon Class,Base Weapon,Weapon Name,ID,sortId,Physical Graph,Magic Graph,Fire Graph,Lightning Graph,Holy Graph,Poison Graph,Bleed Graph,Sleep Graph,Madness Graph,Base Str Scale,Base Dex Scale,Base Int Scale,Base Fth Scale, Base Arc Scale,reinforceTypeId
Dagger,Dagger,Dagger,1000000,1000000,0,0,0,0,0,6,6,6,6,35,65,0,0,0,0
Dagger,Dagger,Heavy Dagger,1000100,1000001,1,0,0,0,0,6,6,6,6,55,0,0,0,0,100
Dagger,Dagger,Keen Dagger,1000200,1000002,2,0,0,0,0,6,6,6,6,20,70,0,0,0,5000
Dagger,Dagger,Quality Dagger,1000300,1000003,8,0,0,0,0,6,6,6,6,63,63,0,0,0,300
Dagger,Dagger,Fire Dagger,1000400,1000005,0,0,4,0,0,6,6,6,6,47,10,0,0,0,400
Dagger,Dagger,Flame Art Dagger,1000500,1000006,0,0,4,0,0,6,6,6,6,10,19,0,55,0,500
Dagger,Dagger,Lightning Dagger,1000600,1000007,0,0,0,4,0,6,6,6,6,10,47,0,0,0,600
Dagger,Dagger,Sacred Dagger,1000700,1000008,0,0,0,0,4,6,6,6,6,10,19,0,55,0,700
Dagger,Dagger,Magic Dagger,1000800,1000004,0,4,0,0,0,6,6,6,6,10,19,56,0,0,800
Dagger,Dagger,Cold Dagger,1000900,1000011,0,0,0,0,0,6,6,6,6,31,58,52,0,0,900
Dagger,Dagger,Poison Dagger,1001000,1000009,0,0,0,0,0,6,6,6,6,33,61,0,0,30,1000
Dagger,Dagger,Blood Dagger,1001100,1000010,0,0,0,0,0,6,6,6,6,33,61,0,0,30,1100
Dagger,Dagger,Occult Dagger,1001200,1000012,7,0,0,0,0,6,6,6,6,14,26,0,0,85,1200
Dagger,Parrying Dagger,Parrying Dagger,1020000,1001000,0,0,0,0,0,6,6,6,6,16,76,0,0,0,0
Dagger,Parrying Dagger,Heavy Parrying Dagger,1020100,1001001,1,0,0,0,0,6,6,6,6,55,0,0,0,0,100
Dagger,Parrying Dagger,Keen Parrying Dagger,1020200,1001002,2,0,0,0,0,6,6,6,6,9,74,0,0,0,5000
Dagger,Parrying Dagger,Quality Parrying Dagger,1020300,1001003,8,0,0,0,0,6,6,6,6,64,64,0,0,0,300
Dagger,Parrying Dagger,Fire Parrying Dagger,1020400,1001005,0,0,4,0,0,6,6,6,6,46,9,0,0,0,400
Dagger,Parrying Dagger,Flame Art Parrying Dagger,1020500,1001006,0,0,4,0,0,6,6,6,6,4,22,0,50,0,500
